"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour","week_day"
"413","Fuera CETRAM","male","18-24","Licenciatura","Benito Juarez","Tlalnepantla de Baz","None","Estudio","3",4,"5","BRT","Peseros","Bus","El Rosario","El Rosario","35",273,"1",0,0,0,"14","2"
"415","Dentro CETRAM","male","18-24","Licenciatura","Venustiano Carranza","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",249,"1",0,0,0,"16","3"
"416","Dentro CETRAM","male","25-44","Secundaria","Atizapan de Zaragoza","Tlalnepantla de Baz","None","Recreacion","1",1,"1","Taxi","Peseros","Bus","El Rosario","El Rosario","35",828,"5",0,0,0,"18","7"
"417","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","3 to 4","Otro","4",5,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",579,"9",0,0,0,"16","7"
"418","Dentro CETRAM","male","18-24","Licenciatura","Tlalnepantla de Baz","Gustavo A. Madero","None","Recreacion","4",5,"5","Metro","Trolebus","Van","El Rosario","El Rosario","15",216,"1",0,0,0,"18","3"
"419","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","1 to 2","Estudio","4",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",421,"2",0,0,0,"17","7"
"420","Dentro CETRAM","male","45-64","Licenciatura","Coyoacan","Atizapan de Zaragoza","None","Trabajo","2",4,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",540,"6",0,0,0,"12","6"
"422","Fuera CETRAM","male","25-44","Preparatoria","Nicolas Romero","Tecamec","None","Otro","3",5,"5","Trolebus","Metro","Van","Azteca","Heroes Tecamec","15",977,"2",0,0,0,"13","2"
"423","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","3",5,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",10,"1",0,0,0,"12","1"
"424","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Recreacion","2",3,"5","BRT","Taxi","Van","Azteca","Mexipuerto","15",790,"2",0,0,0,"17","1"
"425","Dentro CETRAM","male","18-24","Preparatoria","Nicolas Romero","Tlalnepantla de Baz","3 to 4","Recreacion","3",4,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",732,"6",0,0,0,"13","5"
"426","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Tlalnepantla de Baz","None","Trabajo","1",4,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",1050,"6",0,0,0,"16","5"
"427","Fuera CETRAM","male","0-17","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","4",4,"3","Metro","Peseros","Van","Azteca","Mexipuerto","15",1057,"0",0,0,0,"14","5"
"428","Dentro CETRAM","male","45-64","Secundaria","Otro","Otro","None","Trabajo","4",5,"5","Trolebus","Peseros","Van","El Rosario","Mexico Nueva","15",475,"4",0,0,0,"16","4"
"429","Dentro CETRAM","male","65+","Primaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",4,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",558,"9",0,0,0,"17","4"
"430","Fuera CETRAM","male","65+","Primaria","Tecamec","Ecatepec de Morelos","None","Otro","2",1,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",971,"2",0,0,0,"14","5"
"431","Fuera CETRAM","male","18-24","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Trabajo","3",3,"5","Peseros","Metro","Van","Azteca","Mexipuerto","15",1055,"6",0,0,0,"17","5"
"432","Fuera CETRAM","male","45-64","Licenciatura","Cuauhtemoc","Atizapan de Zaragoza","None","Compra","2",3,"5","Metro","BRT","Bus","El Rosario","Mexico Nueva","35",608,"2",0,0,0,"17","7"
"433","Dentro CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","None","Otro","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",451,"9",0,0,0,"12","3"
"434","Fuera CETRAM","male","18-24","Secundaria","Tecamec","Tecamec","3 to 4","Otro","3",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",973,"2",0,0,0,"13","6"
"435","Dentro CETRAM","male","45-64","Preparatoria","Tlalnepantla de Baz","Tlalnepantla de Baz","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",320,"2",0,0,0,"15","1"
"436","Fuera CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Benito Juarez","None","Trabajo","4",1,"5","Metro","Peseros","Bus","El Rosario","Tacuba","35",677,"6",0,0,0,"14","4"
"437","Fuera CETRAM","male","45-64","Licenciatura","Alvaro Obregon","Azcapotzalco","1 to 2","Trabajo","1",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",443,"2",0,0,0,"18","4"
"438","Fuera CETRAM","male","25-44","Licenciatura","Naucalpan de Juarez","Atizapan de Zaragoza","None","Estudio","2",3,"5","BRT","Peseros","Bus","El Rosario","Tacuba","35",767,"6",0,0,0,"14","4"
"439","Fuera CETRAM","male","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","1",1,"3","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",702,"5",0,0,0,"13","3"
"440","Dentro CETRAM","male","25-44","Secundaria","Tlalnepantla de Baz","Azcapotzalco","None","Trabajo","4",4,"5","Metro","BRT","Van","El Rosario","El Rosario","15",103,"1",0,0,0,"17","3"
"441","Dentro CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",3,"5","BRT","Metro","Van","Azteca","Heroes Tecamec","15",407,"2",14,7,1,"13","6"
"442","Dentro CETRAM","female","25-44","Preparatoria","Tlalnepantla de Baz","Atizapan de Zaragoza","3 to 4","Otro","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",818,"6",14,4,1,"16","7"
"443","Dentro CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Estudio","1",3,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",1058,"0",14,0,1,"19","4"
"444","Dentro CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Tecamec","None","Recreacion","4",3,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",636,"5",14,8,1,"13","1"
"445","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Recreacion","2",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",636,"5",14,8,1,"13","1"
"446","Dentro CETRAM","male","65+","Primaria","Tecamec","Tecamec","None","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",488,"9",14,7,1,"13","6"
"447","Dentro CETRAM","male","18-24","Licenciatura","Cuauhtemoc","Tecamec","None","Otro","3",3,"5","Trolebus","Peseros","Van","Azteca","Heroes Tecamec","15",411,"2",14,0,1,"16","5"
"448","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Nicolas Romero","1 to 2","Recreacion","1",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",769,"6",28,14,2,"17","4"
"449","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Nicolas Romero","1 to 2","Estudio","3",4,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",733,"2",28,14,2,"17","4"
"450","Dentro CETRAM","female","65+","Primaria","Iztapalapa","Ecatepec de Morelos","1 to 2","Estudio","3",5,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",957,"6",13,5,2,"17","2"
"451","Dentro CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","4",4,"5","Taxi","Metro","Van","El Rosario","Mexico Nueva","15",893,"2",13,6,2,"13","2"
"452","Dentro CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","1 to 2","Compra","4",3,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",785,"5",13,8,2,"13","6"
"454","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Tizayuca","None","Recreacion","3",4,"5","Peseros","Peseros","Van","Azteca","Heroes Tecamec","15",526,"9",13,8,2,"13","1"
"455","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",5,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",854,"6",13,5,2,"16","3"
"456","Dentro CETRAM","female","18-24","Preparatoria","Miguel Hidalgo","Atizapan de Zaragoza","1 to 2","Recreacion","2",3,"4","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",478,"4",13,0,2,"17","6"
"457","Dentro CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",830,"6",13,8,2,"16","1"
"458","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",904,"6",13,8,2,"13","2"
"459","Dentro CETRAM","male","18-24","Secundaria","Atizapan de Zaragoza","Nicolas Romero","1 to 2","Otro","4",4,"4","Peseros","Peseros","Van","El Rosario","Mexico Nueva","15",794,"0",13,4,2,"18","7"
"460","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","1",3,"5","Trolebus","Peseros","Van","Azteca","Heroes Tecamec","15",902,"6",13,5,2,"16","3"
"461","Dentro CETRAM","male","18-24","Secundaria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Trabajo","4",3,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",249,"1",13,1,2,"17","3"
"462","Fuera CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Compra","3",3,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",846,"5",27,12,3,"17","4"
"463","Dentro CETRAM","female","25-44","Preparatoria","Azcapotzalco","Azcapotzalco","1 to 2","Trabajo","4",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",1058,"0",12,6,3,"16","7"
"464","Dentro CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Otro","4",4,"5","Trolebus","Peseros","Van","Azteca","Mexipuerto","15",992,"2",12,9,3,"16","1"
"465","Dentro CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","3",3,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",526,"9",12,5,3,"13","1"
"466","Dentro CETRAM","female","45-64","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Trabajo","4",5,"5","Metro","Metro","Van","El Rosario","Mexico Nueva","15",838,"2",12,0,3,"19","7"
"467","Dentro CETRAM","female","25-44","Primaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",838,"2",12,0,3,"19","7"
"468","Dentro CETRAM","female","25-44","Sin estudios","Azcapotzalco","Atizapan de Zaragoza","None","Otro","4",4,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",249,"1",12,1,3,"17","3"
"469","Dentro CETRAM","female","0-17","Secundaria","Tecamec","Tecamec","1 to 2","Otro","3",3,"3","Taxi","Metro","Van","Azteca","Mexipuerto","15",969,"2",12,9,3,"16","1"
"470","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","1",1,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",600,"7",12,5,3,"13","1"
"471","Dentro CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",715,"5",12,0,3,"19","4"
"472","Dentro CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","4",4,"5","BRT","Peseros","Van","El Rosario","Mexico Nueva","15",794,"0",12,0,3,"19","7"
"473","Dentro CETRAM","female","25-44","Sin estudios","Ecatepec de Morelos","Tecamec","1 to 2","Compra","5",1,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",395,"2",12,4,3,"12","7"
"474","Fuera CETRAM","female","25-44","Secundaria","Tecamec","Tecamec","None","Compra","5",5,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",964,"2",12,4,3,"13","3"
"475","Dentro CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Otro","3",5,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",979,"6",12,9,3,"16","1"
"476","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Tecamec","1 to 2","Otro","4",3,"5","Trolebus","Metro","Van","Azteca","Mexipuerto","15",952,"2",12,9,3,"16","1"
"477","Dentro CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","1 to 2","Otro","4",2,"3","BRT","Metro","Van","Azteca","Heroes Tecamec","15",564,"9",12,4,3,"12","7"
"478","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","5",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",636,"5",12,5,3,"13","1"
"479","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Compra","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",424,"9",12,4,3,"12","7"
"480","Fuera CETRAM","male","25-44","Preparatoria","Tlalnepantla de Baz","Tecamec","None","Trabajo","3",2,"5","Peseros","Taxi","Van","Azteca","Heroes Tecamec","15",1000,"6",12,4,3,"13","3"
"481","Dentro CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","1 to 2","Otro","3",4,"3","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",564,"9",12,4,3,"12","7"
"482","Dentro CETRAM","male","25-44","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","None","Trabajo","5",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",879,"2",12,8,3,"13","3"
"483","Dentro CETRAM","male","0-17","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","3 to 4","Estudio","1",1,"3","BRT","Taxi","Van","El Rosario","Mexico Nueva","15",879,"2",12,8,3,"13","3"
"484","Dentro CETRAM","male","45-64","Licenciatura","Gustavo A. Madero","Tlalnepantla de Baz","None","Recreacion","2",2,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",794,"0",12,3,3,"17","7"
"485","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","5",1,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",416,"2",12,4,3,"12","7"
"486","Fuera CETRAM","male","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","3",2,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",827,"2",12,1,3,"18","1"
"487","Fuera CETRAM","male","18-24","Licenciatura","Tecamec","Tecamec","None","Compra","4",5,"4","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",1034,"6",12,4,3,"13","3"
"488","Dentro CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Tecamec","None","Recreacion","3",4,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",1058,"0",12,6,3,"16","7"
"489","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Estudio","3",2,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",605,"7",12,4,3,"12","7"
"490","Dentro CETRAM","male","25-44","Preparatoria","Tecamec","Tecamec","None","Compra","3",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",403,"2",12,5,3,"12","1"
"491","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Coacalco de Berriozal","None","Compra","3",1,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",628,"5",12,5,3,"13","1"
"492","Fuera CETRAM","female","18-24","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","None","Compra","3",3,"5","BRT","Metro","Bus","El Rosario","Mexico Nueva","35",584,"7",26,10,4,"16","2"
"493","Fuera CETRAM","female","25-44","Preparatoria","Cuajimalpa de Morelos","Atizapan de Zaragoza","1 to 2","Otro","3",4,"5","Metro","Taxi","Bus","El Rosario","Mexico Nueva","35",527,"6",26,10,4,"16","2"
"494","Fuera CETRAM","male","45-64","Secundaria","Magdalena Contreras","Nicolas Romero","None","Trabajo","3",4,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",559,"5",26,10,4,"16","2"
"495","Fuera CETRAM","male","25-44","Preparatoria","Cuajimalpa de Morelos","Atizapan de Zaragoza","1 to 2","Otro","3",4,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",485,"2",26,10,4,"16","2"
"496","Dentro CETRAM","female","45-64","Licenciatura","Benito Juarez","Alvaro Obregon","None","Trabajo","4",4,"5","Metro","Taxi","Van","El Rosario","El Rosario","15",748,"2",16,8,4,"17","5"
"497","Dentro CETRAM","male","25-44","Preparatoria","Alvaro Obregon","Atizapan de Zaragoza","None","Trabajo","4",3,"5","Trolebus","Metro","Van","El Rosario","El Rosario","15",748,"2",16,8,4,"17","5"
"498","Dentro CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","3",4,"5","Taxi","Metro","Van","El Rosario","Mexico Nueva","15",249,"1",11,5,4,"13","2"
"499","Dentro CETRAM","female","25-44","Licenciatura","Gustavo A. Madero","Nicolas Romero","None","Trabajo","1",2,"5","BRT","Taxi","Van","El Rosario","Mexico Nueva","15",520,"6",11,3,4,"17","6"
"500","Dentro CETRAM","female","25-44","Primaria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","1",4,"5","BRT","Metro","Van","Azteca","Heroes Tecamec","15",393,"2",11,6,4,"13","2"
"502","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",672,"5",11,6,4,"12","3"
"503","Dentro CETRAM","female","65+","Primaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","4",4,"5","Peseros","Taxi","Van","El Rosario","Mexico Nueva","15",942,"9",11,4,4,"17","1"
"504","Dentro CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Naucalpan de Juarez","None","Recreacion","4",5,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",632,"2",11,7,4,"19","6"
"505","Dentro CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Nicolas Romero","None","Otro","4",2,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",836,"5",11,5,4,"17","1"
"506","Fuera CETRAM","female","45-64","Licenciatura","Atizapan de Zaragoza","Tlalnepantla de Baz","None","Otro","3",1,"5","Taxi","BRT","Van","El Rosario","El Rosario","15",757,"6",11,4,4,"13","5"
"507","Dentro CETRAM","female","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","5",4,"5","Peseros","Metro","Van","Azteca","Heroes Tecamec","15",576,"9",11,6,4,"16","7"
"508","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Tecamec","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",386,"9",11,7,4,"15","1"
"509","Dentro CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Compra","4",2,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",531,"9",11,6,4,"16","7"
"510","Dentro CETRAM","female","65+","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",772,"2",11,7,4,"17","2"
"511","Dentro CETRAM","female","45-64","Licenciatura","Tlalnepantla de Baz","Tlalnepantla de Baz","None","Trabajo","1",2,"5","BRT","Peseros","Van","El Rosario","Mexico Nueva","15",553,"6",11,3,4,"17","6"
"512","Dentro CETRAM","female","25-44","Preparatoria","Naucalpan de Juarez","Atizapan de Zaragoza","None","Trabajo","1",2,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",803,"6",11,6,4,"14","4"
"513","Fuera CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","1",1,"5","Metro","BRT","Van","El Rosario","El Rosario","15",719,"2",11,4,4,"13","5"
"514","Dentro CETRAM","female","65+","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Recreacion","2",2,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",509,"2",11,3,4,"17","7"
"515","Fuera CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","5",1,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",58,"1",11,6,4,"16","7"
"516","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","4",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",393,"2",11,6,4,"13","2"
"517","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","2",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",479,"9",11,6,4,"16","7"
"518","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","5",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",58,"1",11,6,4,"16","7"
"519","Dentro CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Tecamec","None","Otro","3",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",577,"9",11,6,4,"12","3"
"520","Fuera CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","1",3,"3","Taxi","Trolebus","Van","Azteca","Mexipuerto","15",301,"6",11,1,4,"16","6"
"521","Fuera CETRAM","male","45-64","Secundaria","Gustavo A. Madero","Tecamec","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",484,"2",11,6,4,"17","7"
"522","Dentro CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",477,"9",11,6,4,"17","3"
"523","Fuera CETRAM","male","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","3",3,"3","Taxi","Peseros","Van","Azteca","Mexipuerto","15",1058,"0",11,0,4,"17","6"
"524","Dentro CETRAM","male","0-17","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Recreacion","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",803,"6",11,6,4,"14","4"
"525","Dentro CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Otro","5",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",467,"9",11,6,4,"13","2"
"526","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","3",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",554,"2",11,6,4,"17","7"
"527","Dentro CETRAM","male","25-44","Secundaria","Ecatepec de Morelos","Tecamec","1 to 2","Otro","4",4,"5","Peseros","BRT","Van","Azteca","Heroes Tecamec","15",377,"2",11,6,4,"17","3"
"528","Dentro CETRAM","male","25-44","Licenciatura","Tecamec","Ecatepec de Morelos","None","Trabajo","2",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",786,"5",11,0,4,"18","4"
"529","Dentro CETRAM","male","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","5",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",829,"2",11,7,4,"18","3"
"530","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","3",1,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",383,"2",11,6,4,"16","7"
"531","Dentro CETRAM","male","18-24","Preparatoria","Tecamec","Tecamec","1 to 2","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",410,"2",11,7,4,"15","1"
"532","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",417,"9",11,6,4,"16","7"
"533","Dentro CETRAM","male","25-44","Secundaria","Iztapalapa","Tecamec","None","Trabajo","4",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",457,"9",11,6,4,"17","3"
"534","Dentro CETRAM","male","45-64","Preparatoria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Otro","3",4,"3","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",643,"6",11,-1,4,"18","6"
"535","Dentro CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","None","Trabajo","3",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",418,"2",11,6,4,"17","3"
"536","Dentro CETRAM","male","45-64","Primaria","Chalco","Ecatepec de Morelos","None","Trabajo","4",3,"3","Metro","Peseros","Van","Azteca","Mexipuerto","15",864,"2",11,7,4,"18","3"
"537","Dentro CETRAM","male","25-44","Secundaria","Nezahualcoyotl","Cuautitlan Izcalli","1 to 2","Recreacion","3",2,"5","Peseros","Peseros","Van","Azteca","Heroes Tecamec","15",526,"9",11,6,4,"13","1"
"538","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","3 to 4","Recreacion","5",3,"3","Peseros","Peseros","Van","Azteca","Heroes Tecamec","15",303,"6",11,6,4,"16","7"
"539","Fuera CETRAM","male","0-17","Preparatoria","Tecamec","Ecatepec de Morelos","3 to 4","Estudio","4",4,"5","Peseros","Peseros","Van","Azteca","Mexipuerto","15",1029,"2",11,4,4,"13","3"
"540","Dentro CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Estudio","2",4,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",652,"6",10,3,5,"17","6"
"541","Dentro CETRAM","female","18-24","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","3 to 4","Otro","3",3,"5","Taxi","BRT","Van","El Rosario","Mexico Nueva","15",794,"0",10,3,5,"17","7"
"542","Dentro CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",816,"5",10,6,5,"13","2"
"543","Dentro CETRAM","female","25-44","Licenciatura","Cuauhtemoc","Atizapan de Zaragoza","None","Otro","3",4,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",400,"3",10,3,5,"16","1"
"544","Dentro CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Tecamec","None","Trabajo","4",3,"5","Peseros","Taxi","Van","Azteca","Heroes Tecamec","15",444,"9",10,6,5,"12","3"
"545","Dentro CETRAM","female","45-64","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","3 to 4","Otro","3",4,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",447,"4",10,3,5,"16","1"
